name_of_insurer,claims_outstanding_at_the_beginning_of_the_quarter,claims_intimated_during_the_quarter,claims_intimated_and_revived_during_the_quarter,claims_revised_during_the_quarter,claims_revived_during_the_quarter,claims_paid_during_the_quarter,claims_rejected_and_closed_as_no_claims_during_the_quarter,claims_declined_during_the_quarter,claims_closed_as_no_claims_during_the_quarter,claims_outstanding_at_the_end_of_the_quarter,declined_claims_ratio_percent,claims_closed_as_no_claims_ratio_percent,claim_settlement_ratio_percent,quarter,year
GA Life,13,418,NA,NA,NA,431,NA,NA,NA,NA,0,NA,100,Q4,2016
ABSA Life,49,298,NA,NA,NA,333,NA,NA,NA,NA,0,NA,100,Q4,2016
ICEA Life,198,11448,NA,NA,NA,11414,NA,NA,NA,232,0,NA,98,Q4,2016
UAP Life,126,1829,NA,NA,NA,1828,NA,NA,NA,127,0,NA,93.5,Q4,2016
The Kenyan Alliance,30,611,NA,NA,NA,588,2,NA,NA,51,0.3,NA,91.7,Q4,2016
Madison,951,2960,NA,NA,NA,3134,NA,NA,NA,777,0,NA,80.1,Q4,2016
Capex Life,113,13,NA,NA,NA,98,NA,NA,NA,28,0,NA,77.8,Q4,2016
Jubilee,1987,7215,NA,NA,NA,7001,29,NA,NA,2172,0.3,NA,76.1,Q4,2016
Kenindia,540,1479,NA,NA,NA,1473,68,NA,NA,478,3.4,NA,73,Q4,2016
Britam Life,2464,5483,NA,NA,NA,5549,NA,NA,NA,2398,0,NA,69.8,Q4,2016
Corporate,111,366,NA,NA,NA,323,NA,NA,NA,154,0,NA,67.7,Q4,2016
Sanlam Life,2218,4673,NA,NA,NA,4617,NA,NA,NA,2274,0,NA,67,Q4,2016
CIC Life,1210,1428,NA,NA,13,1532,7,NA,NA,1112,0.3,NA,57.8,Q4,2016
First Assurance,29,36,NA,NA,NA,35,10,NA,NA,20,15.4,NA,53.8,Q4,2016
Kenya Orient,75,7,NA,NA,NA,41,8,NA,NA,33,9.8,NA,50,Q4,2016
Old Mutual,1251,1288,NA,NA,NA,1246,15,NA,NA,1278,0.6,NA,49.1,Q4,2016
Metropolitan Cannon,19,190,NA,NA,NA,97,NA,NA,NA,112,0,NA,46.4,Q4,2016
Pioneer,4489,3544,NA,NA,115,3239,96,NA,NA,4814,1.2,NA,39.7,Q4,2016
Prudential Life,3779,1321,NA,NA,NA,1650,NA,NA,NA,3450,0,NA,32.4,Q4,2016
Liberty Life,594,245,NA,NA,NA,197,2,NA,NA,640,0.2,NA,23.5,Q4,2016
APA Life,811,271,NA,NA,NA,181,23,NA,NA,878,2.1,NA,16.7,Q4,2016
The Monarch,32,3,NA,NA,NA,3,NA,NA,NA,32,0,NA,8.6,Q4,2016
Geminia,517,5,NA,NA,NA,14,NA,NA,NA,508,0,NA,2.7,Q4,2016
Cannon Life,873,26,NA,NA,NA,12,NA,NA,NA,887,0,NA,1.3,Q4,2016
Saham,22,1,NA,NA,NA,NA,3,NA,NA,20,13,NA,0,Q4,2016
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4,2016
Industry,22501,45158,NA,NA,128,45036,263,NA,NA,22475,0.4,NA,66.5,Q4,2016
GA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,Q3,2016
ABSA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,Q3,2016
ICEA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,Q3,2016
UAP Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,Q3,2016
The Kenyan Alliance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,Q3,2016
Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,Q3,2016
Capex Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,Q3,2016
Jubilee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,Q3,2016
Kenindia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,Q3,2016
Britam Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6,Q3,2016
Corporate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7,Q3,2016
Sanlam Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,Q3,2016
CIC Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,Q3,2016
First Assurance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,Q3,2016
Kenya Orient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,Q3,2016
Old Mutual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,Q3,2016
Metropolitan Cannon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3,Q3,2016
Pioneer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,Q3,2016
Prudential Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,Q3,2016
Liberty Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,Q3,2016
APA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,Q3,2016
The Monarch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,Q3,2016
Geminia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,Q3,2016
Cannon Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,Q3,2016
Saham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,Q3,2016
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q3,2016
Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4,Q3,2016
GA Life,NA,207,NA,NA,NA,206,NA,NA,NA,1,0,NA,99.5,Q1,2017
ICEA Life,225,11450,NA,NA,NA,11432,NA,NA,NA,243,0,NA,97.9,Q1,2017
The Kenyan Alliance,51,772,NA,NA,NA,768,NA,NA,NA,55,NA,NA,93.3,Q1,2017
UAP Life,127,1587,NA,NA,NA,1583,NA,NA,NA,131,0,NA,92.4,Q1,2017
ABSA Life,NA,406,NA,NA,NA,352,NA,NA,NA,54,0,NA,86.7,Q1,2017
Madison,777,3286,NA,NA,NA,3286,NA,NA,NA,777,0,NA,80.9,Q1,2017
Pioneer,4814,4263,NA,NA,NA,7212,NA,NA,NA,1865,NA,NA,79.5,Q1,2017
Jubilee,2172,6957,NA,NA,NA,6919,24,NA,NA,2186,0.3,NA,75.8,Q1,2017
Capex Life,28,36,NA,NA,NA,48,NA,NA,NA,16,0,NA,75,Q1,2017
Kenindia,478,1257,NA,NA,NA,1290,12,NA,NA,433,0.7,NA,74.4,Q1,2017
First Assurance,20,79,NA,NA,NA,72,NA,NA,NA,28,NA,NA,72,Q1,2017
Sanlam Life,1454,3284,NA,NA,NA,3307,7,NA,NA,1424,0.1,NA,69.8,Q1,2017
Britam Life,2398,4169,NA,NA,NA,4427,NA,NA,NA,2140,0,NA,67.4,Q1,2017
Corporate,154,494,NA,NA,NA,383,NA,NA,NA,265,0,NA,59.1,Q1,2017
CIC Life,1112,1548,NA,NA,9,1419,31,NA,NA,1219,1.2,NA,53.2,Q1,2017
Old Mutual,1278,1206,NA,NA,NA,1173,95,NA,NA,1216,3.8,NA,47.2,Q1,2017
The Monarch,32,19,NA,NA,NA,18,NA,NA,NA,33,0,NA,35.3,Q1,2017
Prudential Life,3450,737,NA,NA,118,1311,745,NA,NA,2249,17.3,NA,30.5,Q1,2017
Metropolitan Cannon,112,452,NA,NA,NA,149,NA,NA,NA,415,0,NA,26.4,Q1,2017
Liberty Life,640,254,NA,NA,NA,225,6,NA,NA,663,0.7,NA,25.2,Q1,2017
Cannon Life,884,44,NA,NA,NA,218,NA,NA,NA,710,0,NA,23.5,Q1,2017
APA Life,880,207,NA,NA,NA,229,13,NA,NA,845,1.2,NA,21.1,Q1,2017
Kenya Orient,33,35,NA,NA,NA,11,NA,NA,NA,57,NA,NA,16.2,Q1,2017
Saham,20,2,NA,NA,NA,1,NA,NA,NA,21,NA,NA,4.5,Q1,2017
Geminia,508,12,NA,NA,NA,6,NA,NA,NA,514,0,NA,1.2,Q1,2017
Takaful Life,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Q1,2017
Industry,21648,42763,NA,NA,127,46045,933,NA,NA,17561,1.4,NA,71.3,Q1,2017
ICEA Life,243,12303,NA,NA,NA,12270,NA,NA,NA,276,0,0,97.8,Q2,2017
The Kenyan Alliance,55,988,NA,NA,NA,968,NA,NA,NA,75,0,0,92.8,Q2,2017
Madison,777,3627,NA,NA,NA,3669,NA,NA,NA,735,0,0,83.3,Q2,2017
ABSA Life,54,380,NA,NA,NA,361,NA,NA,NA,73,0,0,83.2,Q2,2017
Pioneer,1865,4807,NA,NA,NA,5191,NA,23,34,1424,0.3,0.5,77.8,Q2,2017
Corporate,265,391,NA,NA,NA,492,NA,NA,NA,164,0,0,75,Q2,2017
Jubilee,2186,7856,NA,NA,NA,7496,NA,1,8,2537,0,0.1,74.6,Q2,2017
Sanlam Life,1424,3862,NA,NA,NA,3653,NA,7,261,1365,0.1,4.9,69.1,Q2,2017
Kenindia,433,1509,NA,NA,NA,1326,NA,NA,116,500,0,6,68.3,Q2,2017
Capex Life,16,75,NA,NA,NA,59,NA,NA,NA,32,0,0,64.8,Q2,2017
Britam Life,2140,10444,NA,NA,NA,7865,NA,NA,NA,4719,0,0,62.5,Q2,2017
CIC Life,1219,1409,NA,NA,4,1495,NA,1,63,1073,0,2.4,56.8,Q2,2017
First Assurance,28,16,NA,NA,NA,22,NA,NA,NA,22,0,0,50,Q2,2017
Old Mutual,1216,2783,NA,NA,NA,1630,NA,NA,3,2366,0,0.1,40.8,Q2,2017
Prudential Life,2249,951,NA,NA,NA,1124,NA,NA,10,2066,0,0.3,35.1,Q2,2017
UAP Life,131,5031,NA,NA,NA,1779,NA,NA,NA,3383,0,0,34.5,Q2,2017
Kenya Orient,57,10,NA,NA,NA,18,NA,NA,NA,49,0,0,26.9,Q2,2017
Metropolitan Cannon,415,329,NA,NA,NA,193,NA,NA,NA,551,0,0,25.9,Q2,2017
Liberty Life,663,191,NA,NA,NA,185,NA,NA,NA,669,0,0,21.7,Q2,2017
APA Life,845,187,NA,NA,NA,161,NA,NA,9,862,0,0.9,15.6,Q2,2017
The Monarch,33,12,NA,NA,NA,6,NA,NA,NA,39,0,0,13.3,Q2,2017
Cannon Life,710,79,NA,NA,NA,38,NA,NA,NA,751,0,0,4.8,Q2,2017
Geminia,514,10,NA,NA,NA,17,NA,NA,NA,507,0,0,3.2,Q2,2017
Saham,21,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,Q2,2017
Takaful Life,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,Q2,2017
Industry,17561,58011,NA,NA,4,50780,NA,32,504,24260,0.04,0.7,67.2,Q2,2017
GA Life,NA,572,NA,NA,NA,572,NA,NA,NA,NA,0,0,100,Q3,2017
Takaful Life,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,100,Q3,2017
ICEA Life,276,13397,NA,NA,NA,13396,NA,NA,NA,277,0,0,98,Q3,2017
Capex Life,32,330,NA,NA,NA,354,NA,NA,NA,8,0,0,97.8,Q3,2017
The Kenyan Alliance,75,1020,NA,NA,NA,1009,NA,NA,NA,86,0,0,92.1,Q3,2017
UAP Life,3383,1805,NA,NA,NA,4563,NA,NA,NA,625,0,0,88,Q3,2017
Kenindia,500,1677,NA,NA,NA,1750,NA,NA,25,403,0,1.1,80.3,Q3,2017
Jubilee,2537,7902,NA,NA,NA,8140,NA,6,52,2241,0.1,0.5,78,Q3,2017
ABSA Life,73,365,NA,NA,NA,339,NA,NA,NA,99,0,0,77.4,Q3,2017
Madison,735,4289,NA,NA,NA,3761,NA,NA,NA,1263,0,0,74.9,Q3,2017
Corporate,164,343,NA,NA,NA,371,NA,NA,NA,136,0,0,73.2,Q3,2017
Britam Life,4719,10056,NA,NA,NA,10280,NA,NA,NA,4495,0,0,69.6,Q3,2017
CIC Life,1073,1507,NA,NA,NA,1706,NA,15,5,854,0.6,0.2,66.1,Q3,2017
Sanlam Life,1365,4542,NA,NA,NA,3763,NA,16,393,1735,0.3,6.7,63.7,Q3,2017
First Assurance,22,14,NA,NA,NA,22,NA,NA,NA,14,0,0,61.1,Q3,2017
Pioneer,1424,5198,NA,NA,NA,3605,NA,NA,315,2700,NA,4.8,54.5,Q3,2017
Old Mutual,2366,1924,NA,NA,NA,1717,NA,NA,3,2570,0,0.1,40,Q3,2017
Prudential Life,2066,1379,NA,NA,NA,1342,NA,NA,NA,2102,0,0,39,Q3,2017
Liberty Life,669,308,NA,NA,NA,318,NA,NA,3,656,0,0.3,32.5,Q3,2017
Metropolitan Cannon,551,392,NA,NA,NA,300,NA,198,NA,445,21,0,31.8,Q3,2017
Kenya Orient,49,8,NA,NA,NA,17,NA,NA,NA,40,0,0,29.8,Q3,2017
The Monarch,39,14,NA,NA,NA,15,NA,NA,NA,38,0,0,28.3,Q3,2017
APA Life,862,256,NA,NA,NA,222,NA,NA,6,890,0,0.5,19.9,Q3,2017
Cannon Life,751,45,NA,NA,NA,32,NA,NA,159,605,0,20,4,Q3,2017
Geminia,507,13,NA,NA,NA,3,NA,NA,NA,518,0,0,0.6,Q3,2017
Saham,21,1,NA,NA,NA,NA,NA,NA,NA,22,0,0,0,Q3,2017
Industry,24260,57357,NA,NA,NA,57598,NA,235,961,22822,0.29,1.2,70.6,Q3,2017
GA Life,NA,423,NA,NA,NA,422,NA,NA,NA,1,0,0,99.8,Q4,2017
ICEA Life,277,13312,NA,NA,NA,13353,NA,NA,NA,236,0,0,98.3,Q4,2017
Capex Life,8,385,NA,NA,NA,383,NA,NA,NA,10,0,0,97.5,Q4,2017
Kenya Orient,40,11,NA,NA,NA,48,NA,NA,NA,3,0,0,94.1,Q4,2017
The Kenyan Alliance,86,999,NA,NA,NA,1006,NA,NA,NA,79,0,0,92.7,Q4,2017
ABSA Life,99,459,NA,NA,NA,507,NA,NA,NA,51,0,0,90.9,Q4,2017
Kenindia,403,1366,NA,NA,NA,1461,NA,NA,4,304,0,0.2,82.6,Q4,2017
Corporate,136,303,NA,NA,NA,353,NA,NA,NA,86,0,0,80.4,Q4,2017
Jubilee,2241,8171,NA,NA,NA,7936,NA,12,354,2110,0.1,3.4,76.2,Q4,2017
UAP Life,625,1769,NA,NA,NA,1778,NA,1,1,614,0,0,74.3,Q4,2017
Sanlam Life,1735,3274,NA,NA,NA,3677,NA,4,17,1311,0.1,0.3,73.4,Q4,2017
Madison,1263,4053,NA,NA,NA,3891,NA,NA,NA,1425,0,0,73.2,Q4,2017
Britam Life,4495,9988,NA,NA,NA,10000,NA,NA,NA,4483,0,0,69,Q4,2017
Pioneer,2700,5666,NA,NA,NA,4854,NA,40,NA,3472,0.5,0,58,Q4,2017
Metropolitan Cannon,445,769,NA,NA,NA,686,NA,NA,NA,528,0,0,56.5,Q4,2017
CIC Life,854,1081,NA,NA,8,951,NA,14,11,967,0.7,0.6,48.9,Q4,2017
First Assurance,14,37,NA,NA,NA,24,NA,NA,NA,27,0,0,47.1,Q4,2017
Old Mutual,2570,1670,NA,NA,NA,1532,NA,2,88,2618,0,2.1,36.1,Q4,2017
Liberty Life,656,403,NA,NA,NA,368,NA,NA,NA,691,0,0,34.7,Q4,2017
Prudential Life,2102,2821,NA,NA,NA,1073,NA,NA,NA,3850,0,0,21.8,Q4,2017
APA Life,890,200,NA,NA,NA,223,NA,NA,64,803,0,5.9,20.5,Q4,2017
The Monarch,38,5,NA,NA,NA,7,NA,NA,NA,36,0,0,16.3,Q4,2017
Saham,22,2,NA,NA,NA,2,NA,NA,NA,22,0,0,8.3,Q4,2017
Cannon Life,605,12,NA,NA,NA,21,NA,NA,4,592,0,0.6,3.4,Q4,2017
Geminia,515,9,NA,NA,NA,7,NA,NA,NA,517,0,0,1.3,Q4,2017
Takaful Life,NA,4,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,Q4,2017
Industry,22819,57192,NA,NA,8,54563,NA,73,543,24840,0.1,0.7,68.2,Q4,2017
GA Life,1,432,NA,NA,NA,432,NA,NA,NA,1,NA,NA,99.8,Q1,2018
ICEA Life,234,13597,NA,NA,NA,13543,NA,NA,12,276,NA,0,97.9,Q1,2018
Capex Life,17,443,NA,NA,NA,448,NA,NA,NA,12,NA,NA,97.4,Q1,2018
Kenya Orient,3,17,NA,NA,NA,19,NA,NA,NA,1,NA,NA,95,Q1,2018
The Kenyan Alliance,79,1029,NA,NA,NA,1046,NA,NA,NA,62,NA,NA,94.4,Q1,2018
ABSA Life,51,687,NA,NA,NA,658,NA,NA,NA,80,NA,NA,89.2,Q1,2018
Kenindia,304,1494,NA,NA,NA,1425,NA,NA,39,334,NA,2,79.3,Q1,2018
Madison,1425,4184,NA,NA,NA,4282,NA,NA,NA,1327,NA,NA,76.3,Q1,2018
Jubilee,2110,8153,NA,NA,10,7840,NA,3,174,2256,0,2,76.3,Q1,2018
Britam Life,4483,11086,NA,NA,NA,11032,NA,NA,NA,4537,NA,NA,70.9,Q1,2018
CIC Life,967,1928,NA,NA,NA,1816,NA,10,5,1064,0,0,62.7,Q1,2018
Sanlam Life,1311,3292,NA,NA,NA,2817,NA,13,72,1701,0,2,61.2,Q1,2018
Pioneer,3472,6577,NA,NA,NA,5668,NA,96,1079,3206,1,11,56.4,Q1,2018
First Assurance,27,48,NA,NA,NA,42,NA,NA,NA,33,NA,NA,56,Q1,2018
Prudential Life,3850,975,NA,NA,NA,2699,NA,NA,NA,2126,NA,NA,55.9,Q1,2018
UAP Life,614,3358,NA,NA,NA,2215,NA,NA,NA,1757,NA,NA,55.8,Q1,2018
Corporate,86,580,NA,NA,NA,324,NA,NA,NA,342,NA,NA,48.6,Q1,2018
The Monarch,36,38,NA,NA,NA,31,NA,NA,NA,43,NA,NA,41.9,Q1,2018
Old Mutual,2618,1561,NA,NA,NA,1510,NA,NA,23,2646,NA,1,36.1,Q1,2018
Metropolitan Cannon,1120,503,NA,NA,NA,453,NA,36,3,1131,2,0,27.9,Q1,2018
APA Life,803,215,NA,NA,NA,238,NA,NA,15,765,NA,1,23.4,Q1,2018
Liberty Life,691,601,NA,NA,9312,1451,NA,NA,NA,9153,NA,NA,13.7,Q1,2018
Saham,22,3,NA,NA,NA,1,NA,NA,NA,24,NA,NA,4,Q1,2018
Geminia,517,13,NA,NA,NA,8,NA,NA,NA,522,NA,NA,1.5,Q1,2018
Takaful Life,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,Q1,2018
Industry,24845,60814,NA,NA,9322,59998,NA,158,1422,33403,0.2,1.5,63.2,Q1,2018
GA Life,1,772,NA,NA,NA,772,NA,NA,NA,1,NA,NA,99.9,Q2,2018
Capex Life,12,573,NA,NA,NA,577,NA,NA,NA,8,NA,NA,98.6,Q2,2018
ICEA Life,276,10587,NA,NA,NA,10154,NA,NA,NA,709,NA,NA,93.5,Q2,2018
The Kenyan Alliance,62,1008,NA,NA,NA,960,NA,NA,NA,110,NA,NA,89.7,Q2,2018
ABSA Life,80,605,NA,NA,NA,602,NA,NA,NA,83,NA,NA,87.9,Q2,2018
Kenindia,334,1387,NA,NA,NA,1350,NA,NA,16,355,NA,0.9,78.4,Q2,2018
Jubilee,2256,8400,NA,NA,7,8337,NA,17,457,1852,0.2,4.3,78.2,Q2,2018
Britam Life,4537,11787,NA,NA,NA,11892,NA,NA,NA,4432,NA,NA,72.8,Q2,2018
Sanlam Life,1701,5394,NA,NA,NA,5139,NA,4,8,1944,0.1,0.1,72.4,Q2,2018
Madison,1327,4908,NA,NA,NA,4356,NA,NA,NA,1879,NA,NA,69.9,Q2,2018
Pioneer,3206,6020,NA,NA,NA,5368,NA,251,NA,3607,2.7,NA,58.2,Q2,2018
CIC Life,1064,1264,NA,NA,140,1426,NA,7,3,1032,0.3,0.1,57.8,Q2,2018
Kenya Orient,1,40,NA,NA,NA,23,NA,2,NA,16,4.9,NA,56.1,Q2,2018
Metropolitan Cannon,1131,1115,NA,NA,NA,1221,NA,NA,NA,1025,NA,NA,54.4,Q2,2018
Prudential Life,2126,1687,NA,NA,NA,2046,NA,NA,NA,1767,NA,NA,53.7,Q2,2018
Corporate,342,549,NA,NA,NA,469,NA,NA,NA,422,NA,NA,52.6,Q2,2018
UAP Life,1757,1761,NA,NA,NA,1762,NA,NA,NA,1756,NA,NA,50.1,Q2,2018
First Assurance,33,32,NA,NA,NA,31,NA,NA,1,33,NA,1.5,47.7,Q2,2018
The Monarch,42,30,NA,NA,NA,34,NA,NA,NA,38,NA,NA,47.2,Q2,2018
Old Mutual,2646,1672,NA,NA,NA,1599,NA,NA,177,2542,NA,4.1,37,Q2,2018
APA Life,765,330,NA,NA,NA,282,NA,7,20,786,0.6,1.8,25.8,Q2,2018
Liberty Life,9353,2004,NA,NA,NA,2633,NA,1,NA,8723,0,NA,23.2,Q2,2018
Saham,24,2,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,Q2,2018
Takaful Life,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,Q2,2018
Geminia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,2018
Industry,33080,61927,NA,NA,147,61033,NA,289,682,33150,0.3,0.7,64.1,Q2,2018
APA Life,786,371,NA,NA,NA,371,NA,1,318,467,0.1,27.5,32.1,Q3,2018
ABSA Life,83,779,NA,NA,NA,713,NA,NA,NA,149,NA,NA,82.7,Q3,2018
Britam Life,4432,12085,NA,NA,NA,12444,NA,NA,NA,4073,NA,NA,75.3,Q3,2018
Capex Life,7,489,NA,NA,NA,463,NA,NA,NA,33,NA,NA,93.3,Q3,2018
CIC Life,1032,1651,NA,NA,261,1459,NA,11,3,1210,0.4,0.1,54.4,Q3,2018
Corporate,422,563,NA,NA,NA,497,NA,NA,NA,488,NA,NA,50.5,Q3,2018
First Assurance,33,40,NA,NA,NA,33,NA,NA,NA,40,NA,NA,45.2,Q3,2018
GA Life,1,1100,NA,NA,NA,1100,NA,NA,NA,1,NA,NA,99.9,Q3,2018
